gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,gene_symbol
ENSG00000000003,1125.1030764450604,-0.7081210690796327,0.40783263178029766,-0,1,1,No,TSPAN6
ENSG00000000005,7.6265639649372154,0.6400076272700042,1.0684733922497776,0,1,1,No,TNMD
ENSG00000000419,413.76845890635366,-0.03506425656342852,0.255159475692626,-0,1,1,No,DPM1
ENSG00000000457,416.58270589654524,-0.6237696023796917,0.3378941880807397,-0,1,1,No,SCYL3
ENSG00000000460,62.10570421655749,0.202989750759375,0.6467526455180829,0,1,1,No,FIRRM
ENSG00000000938,161.60574689730038,1.5993150503314566,0.7301726280401238,0.8207854243182114,0.4117685023975294,1,No,FGR
ENSG00000000971,502.72777550845694,1.4243526763805325,0.5426390754404411,0.7820164370509078,0.43420491373975056,1,No,CFH
ENSG00000001036,984.4312141778387,-0.13996851480637584,0.29568497663223825,-0,1,1,No,FUCA2
ENSG00000001084,444.4052691192009,0.007957748593282276,0.37481441578948066,0,1,1,No,GCLC
ENSG00000001167,429.40753091358806,0.3405780739922813,0.3482332678716159,0,1,1,No,NFYA
ENSG00000001460,366.8110129650425,-0.5135194867825168,0.4836639997682315,-0,1,1,No,STPG1
ENSG00000001461,853.3254063546268,-0.7608414107653512,0.3533999613731173,-0,1,1,No,NIPAL3
ENSG00000001497,277.7442555682443,-0.12082140684392666,0.3271588487208439,-0,1,1,No,LAS1L
ENSG00000001561,594.1978677451389,0.111484189325248,0.4422960611107647,0,1,1,No,ENPP4
ENSG00000001617,292.75201209087595,1.3518741818098907,0.6473162549716656,0.5435892874732352,0.5867241331571473,1,No,SEMA3F
ENSG00000001626,1494.2361625122012,-0.5935146117360139,0.4062834360785718,-0,1,1,No,CFTR
ENSG00000001629,483.6518475549917,-0.051290930756819904,0.3298981340474253,-0,1,1,No,ANKIB1
ENSG00000001630,1372.9526559581245,-0.27681436386687935,0.519615025924504,-0,1,1,No,CYP51A1
ENSG00000001631,418.4870732381127,0.07154805743470738,0.3181889866546846,0,1,1,No,KRIT1
ENSG00000002016,306.75146430348127,-0.4513347078608758,0.4707208188655171,-0,1,1,No,RAD52
ENSG00000002330,670.4247200653184,-1.0067258175523195,0.4225275291819223,-0.015918057612344688,0.9872997639360217,1,No,BAD
ENSG00000002549,1807.1450955491423,1.6124053267552778,0.39702423451272467,1.5424885271975763,0.1229549237624263,1,No,LAP3
ENSG00000002586,1152.0229642266254,0.017696865300028418,0.44576518841192736,0,1,1,No,CD99
ENSG00000002587,93.3654257873295,-0.21333863633353545,0.6590849815563441,-0,1,1,No,HS3ST1
ENSG00000002726,8563.79595613827,-0.9169972000571535,0.5597734574657057,-0,1,1,No,AOC1
ENSG00000002746,5.279554832023058,0.981793915156404,1.2214440112358043,0,1,1,No,HECW1
ENSG00000002822,188.5666362595446,0.09658737462572518,0.3948538908778426,0,1,1,No,MAD1L1
ENSG00000002834,9403.161014751422,-0.6316721494071678,0.4203496765383613,-0,1,1,No,LASP1
ENSG00000002919,409.2009870663196,-0.029010222352232263,0.26767886807025304,-0,1,1,No,SNX11
ENSG00000002933,2247.5892978636257,0.036357991367791775,0.4402735924816241,0,1,1,No,TMEM176A
ENSG00000003056,1018.3890685610884,0.3476498716581861,0.2183778435797626,0,1,1,No,M6PR
ENSG00000003096,28.554744598520593,-0.23355459830409075,0.6142394950465851,-0,1,1,No,KLHL13
ENSG00000003137,257.1958030164143,2.5311487855150197,0.9302790809143735,1.645902629574396,0.09978380749406637,1,No,CYP26B1
ENSG00000003147,428.51542730755193,-0.4393137752717426,0.3895452450150553,-0,1,1,No,ICA1
ENSG00000003249,43.877184829677816,1.6336647260722736,0.7488682282930486,0.8461631861677896,0.39746171571215916,1,No,DBNDD1
ENSG00000003393,161.30554928884192,0.13355520947416916,0.29030670490467364,0,1,1,No,ALS2
ENSG00000003400,2079.5975613172186,0.8118228709290856,0.4886697540595397,0,1,1,No,CASP10
ENSG00000003402,3253.4228753514344,0.7850930245535066,0.32278647543062117,0,1,1,No,CFLAR
ENSG00000003436,251.6454285183601,2.3271358678872724,0.7264665435296477,1.8268368718526002,0.0677243001891256,1,No,TFPI
ENSG00000003509,159.13976335973908,-0.04197889117788225,0.37013897108102295,-0,1,1,No,NDUFAF7
ENSG00000003756,2426.648958227931,-0.22677568664037343,0.28733893767632773,-0,1,1,No,RBM5
ENSG00000003989,23.793253526334766,0.3964506630959043,0.9953821761549344,0,1,1,No,SLC7A2
ENSG00000004059,1619.805627268306,-0.323748904090818,0.38828306846296706,-0,1,1,No,ARF5
ENSG00000004139,179.13261503400315,0.19705921549165034,0.33153643030201074,0,1,1,No,SARM1
ENSG00000004142,1078.0632793544585,-0.11543449023537171,0.22395037693839795,-0,1,1,No,POLDIP2
ENSG00000004399,506.66060510693967,1.636928980316207,0.5641411578433497,1.129024130682323,0.25888765435280425,1,No,PLXND1
ENSG00000004455,2122.857556557586,-0.11676328520297599,0.3221256026644404,-0,1,1,No,AK2
ENSG00000004468,227.76051329170932,1.7797121692430966,0.7766019397046995,1.0040049211563646,0.3153762415685108,1,No,CD38
ENSG00000004478,1098.640887331204,0.285396486815624,0.32763789502731405,0,1,1,No,FKBP4
ENSG00000004487,452.69892677214284,0.18233761106649404,0.46295056394319367,0,1,1,No,KDM1A
ENSG00000004534,2492.7308703223025,-0.5205579232003249,0.4406185245138199,-0,1,1,No,RBM6
ENSG00000004660,101.90170170034183,0.662314145257295,0.49559632818178745,0,1,1,No,CAMKK1
