gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,gene_symbol
ENSG00000000003,1125.1030764450604,-0.7081210690796327,0.40783263178029766,-1.736303115296332,0.08251025269156317,0.34049941029534886,No,
ENSG00000000005,7.6265639649372154,0.6400076272700042,1.0684733922497776,0.5989925738088846,0.5491778367276682,0.8287039182177273,No,
ENSG00000000419,413.76845890635366,-0.03506425656342852,0.255159475692626,-0.1374209461288757,0.8906980754930326,0.969182504918225,No,
ENSG00000000457,416.58270589654524,-0.6237696023796917,0.3378941880807397,-1.8460501079427925,0.06488493013983385,0.2975024799263477,No,
ENSG00000000460,62.10570421655749,0.202989750759375,0.6467526455180829,0.3138599465592747,0.7536274122883165,0.9185180622803862,No,
ENSG00000000938,161.60574689730038,1.5993150503314566,0.7301726280401238,2.190324573826085,0.028500705878772084,0.18506030937167245,No,
ENSG00000000971,502.72777550845694,1.4243526763805325,0.5426390754404411,2.624861977041435,0.008668409820769307,0.08864298201582183,Sí,
ENSG00000001036,984.4312141778387,-0.13996851480637584,0.29568497663223825,-0.47337039710496814,0.6359489459344148,0.8677305472996552,No,
ENSG00000001084,444.4052691192009,0.007957748593282276,0.37481441578948066,0.02123117003523111,0.9830612497897954,0.99514916039709,No,
ENSG00000001167,429.40753091358806,0.3405780739922813,0.3482332678716159,0.9780170518281531,0.3280658905515789,0.6814176310609881,No,
ENSG00000001460,366.8110129650425,-0.5135194867825168,0.4836639997682315,-1.0617277428723078,0.288359300966534,0.6434215322925088,No,
ENSG00000001461,853.3254063546268,-0.7608414107653512,0.3533999613731173,-2.1529187717201244,0.031325062921718785,0.19650107794588892,No,
ENSG00000001497,277.7442555682443,-0.12082140684392666,0.3271588487208439,-0.36930502511647,0.7119003803893617,0.9023398190623092,No,
ENSG00000001561,594.1978677451389,0.111484189325248,0.4422960611107647,0.2520578389173782,0.800996357644947,0.9371603273041753,No,
ENSG00000001617,292.75201209087595,1.3518741818098907,0.6473162549716656,2.08842922053466,0.036759133917544616,0.21468370946141707,No,
ENSG00000001626,1494.2361625122012,-0.5935146117360139,0.4062834360785718,-1.460838811113218,0.14405968202339262,0.4614105532194047,No,
ENSG00000001629,483.6518475549917,-0.051290930756819904,0.3298981340474253,-0.15547505567111347,0.8764468174966105,0.964988055257928,No,
ENSG00000001630,1372.9526559581245,-0.27681436386687935,0.519615025924504,-0.5327297134534718,0.5942206944548707,0.8475104573718447,No,
ENSG00000001631,418.4870732381127,0.07154805743470738,0.3181889866546846,0.22486025738016852,0.822087987565181,0.9455953324344104,No,
ENSG00000002016,306.75146430348127,-0.4513347078608758,0.4707208188655171,-0.9588161172659334,0.33765138829506924,0.6903409098958321,No,
ENSG00000002330,670.4247200653184,-1.0067258175523195,0.4225275291819223,-2.3826277532767963,0.017189566414789578,0.13537760635310303,No,
ENSG00000002549,1807.1450955491423,1.6124053267552778,0.39702423451272467,4.06122646073284,4.881559080596284e-5,0.0025619444089377357,Sí,
ENSG00000002586,1152.0229642266254,0.017696865300028418,0.44576518841192736,0.03969997155469869,0.9683323243565113,0.9908528902844503,No,
ENSG00000002587,93.3654257873295,-0.21333863633353545,0.6590849815563441,-0.32368911794919647,0.7461734103112635,0.916352268236613,No,
ENSG00000002726,8563.79595613827,-0.9169972000571535,0.5597734574657057,-1.6381577008111945,0.1013888008728459,0.3814992020621459,No,
ENSG00000002746,5.279554832023058,0.981793915156404,1.2214440112358043,0.8037977231253255,0.42151380495083796,0.7535472778844119,No,
ENSG00000002822,188.5666362595446,0.09658737462572518,0.3948538908778426,0.24461548146579307,0.8067541757045984,0.9395984065255815,No,
ENSG00000002834,9403.161014751422,-0.6316721494071678,0.4203496765383613,-1.5027301902765258,0.13290863420252955,0.44142998434316427,No,
ENSG00000002919,409.2009870663196,-0.029010222352232263,0.26767886807025304,-0.10837696139920336,0.9136966756194157,0.976102471105562,No,
ENSG00000002933,2247.5892978636257,0.036357991367791775,0.4402735924816241,0.08258044994899226,0.9341851468506233,0.9816883141185633,No,
ENSG00000003056,1018.3890685610884,0.3476498716581861,0.2183778435797626,1.591964944608526,0.11139258144847,0.4019795709256702,No,
ENSG00000003096,28.554744598520593,-0.23355459830409075,0.6142394950465851,-0.3802337690551427,0.7037718942771123,0.89780970082421,No,
ENSG00000003137,257.1958030164143,2.5311487855150197,0.9302790809143735,2.720848869381377,0.006511452325699071,0.07305634761890047,Sí,
ENSG00000003147,428.51542730755193,-0.4393137752717426,0.3895452450150553,-1.127760589799431,0.25942104137940725,0.6140942171122127,No,
ENSG00000003249,43.877184829677816,1.6336647260722736,0.7488682282930486,2.1815115989044003,0.029145597498794164,0.187712230544127,No,
ENSG00000003393,161.30554928884192,0.13355520947416916,0.29030670490467364,0.46004865618940466,0.6454812964235913,0.8720121425781218,No,
ENSG00000003400,2079.5975613172186,0.8118228709290856,0.4886697540595397,1.6612914226530433,0.09665493185069925,0.371774383899387,No,
ENSG00000003402,3253.4228753514344,0.7850930245535066,0.32278647543062117,2.4322364296897327,0.015005908513551233,0.1252378782047699,No,
ENSG00000003436,251.6454285183601,2.3271358678872724,0.7264665435296477,3.203362754436743,0.0013583276613953568,0.026760600079878946,Sí,
ENSG00000003509,159.13976335973908,-0.04197889117788225,0.37013897108102295,-0.11341386467704079,0.9097024482098,0.9745526155668389,No,
ENSG00000003756,2426.648958227931,-0.22677568664037343,0.28733893767632773,-0.789227135292831,0.429979264933011,0.7585456964754876,No,
