Gene_ID,mean,lower,upper,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,gene_symbol
ENSG00000197860,0.0010535364997725622,0,0.013591409142295225,70.08628556056365,1.611146980199521,0.463244446080029,3.4779628635227784,5.052399172695922e-4,0.01348084826877171,Sí,
ENSG00000197905,3.624375771278728e-5,0,0.0013124999999999433,66.5528535897593,2.330022086726867,0.8016209500397778,2.906638214247329,0.0036533546245094903,0.051441285256119955,Sí,
ENSG00000197930,2.41625051418582e-5,0,0,4017.484839121156,2.1072116503799987,0.7140360247908567,2.951127922428294,0.003166157576135679,0.04702726328291362,Sí,
ENSG00000197977,5.905537522514338e-4,0,0.012300225273777115,4.08893810951417,4.389389675327234,1.60242801584461,2.7392117660983777,0.00615866903337596,0.07082553335630472,Sí,
ENSG00000198108,5.149733767447975e-4,0,0.01087312731383618,9.505399316955662,2.279735539267223,0.8693324615518644,2.6223978053202077,0.008731344934020141,0.0889080886259114,Sí,
ENSG00000198223,1.97885455230603e-4,-0.0013124999999999964,0.0025,80.89691537895104,2.1296346165730466,0.7808084120033499,2.7274739665124277,0.006382129346910243,0.07241569159498931,Sí,
ENSG00000198324,-5.3638030474317416e-5,-0.0013124999999999964,0,577.7312452433268,-1.53791067395877,0.5235948418599231,-2.937215096496703,0.0033117431391449527,0.048532321956808074,Sí,
ENSG00000198355,3.372004295942574e-4,0,0.009060939428196822,1129.7122413109546,2.1630570251640386,0.44707207298264195,4.838273638371551,1.3097174503239426e-6,1.6308122317726425e-4,Sí,
ENSG00000198417,3.784865264629542e-4,0,0.007131993199803236,400.54757893463756,-2.471462287528141,0.7980688373075224,-3.0968033983963275,0.0019561956530937128,0.0336962368068344,Sí,
ENSG00000198468,3.7363637636796587e-4,0,0.006114136056946047,59.837660110602634,-2.6381042614029733,0.7445860548147097,-3.5430481733363455,3.95530443175417e-4,0.011167696529627723,Sí,
ENSG00000198515,5.84881805693058e-5,0,0.0013124999999999433,283.0446541393518,-2.2901726409129504,0.869468535668175,-2.6339913947006526,0.008438762665181369,0.08705929633216501,Sí,
ENSG00000198535,1.558717522670427e-4,0,0.0025,90.89035193915662,5.478669806676234,1.2412141602469078,4.413960122390477,1.0149666261533073e-5,7.92801535572811e-4,Sí,
ENSG00000198712,5.290452585393959e-4,0,0.010012338068157439,932621.2924333455,-2.3068281887156417,0.7910203837974453,-2.9162689558532864,0.003542449836886975,0.05060358907904966,Sí,
ENSG00000198719,2.1023738883622358e-4,0,0,218.61621032443165,1.7119130577335844,0.5107097729697009,3.3520272145548855,8.022213243110836e-4,0.018547473846420453,Sí,
ENSG00000198727,2.3434899046994708e-5,0,0,690491.0348651496,-2.3980157846416392,0.8453519837255116,-2.8367068757246594,0.004558143815085489,0.058872676488944856,Sí,
ENSG00000198732,2.692923832289797e-4,0,0.010012338068157442,55.066733742618446,3.3815880934114793,0.9545879446837559,3.542458410714333,3.964159266280645e-4,0.011171774878981149,Sí,
ENSG00000198759,6.9241284928163e-4,0,0.015969905742196786,35.96390876871711,4.277712819231837,0.9795747298860227,4.366908096669221,1.260177195685827e-5,9.275641545289318e-4,Sí,
ENSG00000198785,0.0010981135908186828,0,0.01596990574219679,116.71285730075302,3.5344321098181255,0.6696598503432298,5.277951347996412,1.3063613617135728e-7,2.5700237218998793e-5,Sí,
ENSG00000198804,-9.89427276153015e-5,0,0,3210528.636343627,-2.2826333413098654,0.8102516557438593,-2.8171905915011948,0.004844576775784778,0.06132493830928625,Sí,
ENSG00000198805,4.3806123949489853e-4,0,0.009397488606958342,1559.3169601925285,1.2751228281028635,0.3868801456774575,3.29591177616526,9.810281765581029e-4,0.021706815088976095,Sí,
ENSG00000198829,1.2539793980502844e-4,-0.0025,0.0038124999999999435,15.761211599546549,2.8970572438650413,0.9696380040365858,2.98777196418111,0.0028101914377415232,0.04363139412966715,Sí,
ENSG00000198840,-1.3820679847082102e-4,0,0,168088.68621620018,-2.2726643399109356,0.8023007751208124,-2.8326837146190122,0.004615903318734416,0.059337094551423324,Sí,
ENSG00000198844,-1.1212621104362323e-4,-0.0013124999999999964,0,97.41843819483468,2.5425437703248606,0.9309542238484038,2.731115779049183,0.006312029280159502,0.07202559811481943,Sí,
ENSG00000198873,2.8020313142732244e-5,-0.0025,0.007131993199803236,235.9723661830312,1.905265525196294,0.5651434264380762,3.3712955615614106,7.481554433638321e-4,0.01761818214032678,Sí,
